Id,SalePrice
1461,129021.65
1462,157012.81
1463,178596.45
1464,179198.7
1465,201101.88
1466,174061.9
1467,173099.47
1468,160153.14
1469,180156.56
1470,122278.91
1471,198261.45
1472,95196.41
1473,95861.914
1474,146552.6
1475,132757.94
1476,366510.28
1477,257805.06
1478,283425.53
1479,295508.16
1480,487592.7
1481,303982.78
1482,209247.33
1483,167414.94
1484,168635.97
1485,175466.25
1486,196140.84
1487,329239.03
1488,243825.06
1489,195371.14
1490,211504.6
1491,198090.8
1492,94593.77
1493,180731.84
1494,309987.16
1495,305235.4
1496,233584.58
1497,184375.05
1498,160228.0
1499,163758.55
1500,146734.55
1501,161725.72
1502,152560.44
1503,281246.72
1504,236807.5
1505,218538.36
1506,192236.02
1507,226589.31
1508,202060.02
1509,170693.3
1510,147661.75
1511,146518.78
1512,168103.84
1513,139813.86
1514,184760.52
1515,214731.05
1516,160586.27
1517,152840.33
1518,143510.52
1519,223256.0
1520,136356.95
1521,141810.84
1522,165199.92
1523,111254.805
1524,129967.0
1525,127727.6
1526,131206.52
1527,106700.05
1528,138152.56
1529,146468.2
1530,172543.88
1531,105272.97
1532,99535.086
1533,139356.88
1534,121131.59
1535,155357.55
1536,113595.16
1537,73147.1
1538,170244.44
1539,190994.86
1540,94739.21
1541,146445.86
1542,141427.81
1543,230453.42
1544,82438.28
1545,111964.11
1546,116510.11
1547,130165.96
1548,129910.49
1549,117311.53
1550,133685.66
1551,118774.53
1552,122916.11
1553,137671.72
1554,114027.57
1555,171199.5
1556,84711.03
1557,109687.38
1558,91499.21
1559,75425.07
1560,134912.25
1561,133253.02
1562,124952.41
1563,114920.695
1564,158147.73
1565,139979.17
1566,244233.25
1567,81253.82
1568,217991.75
1569,125942.63
1570,132699.6
1571,127148.49
1572,156426.48
1573,246730.02
1574,92644.984
1575,216523.38
1576,207782.95
1577,191517.05
1578,141503.9
1579,146931.3
1580,204006.92
1581,145322.02
1582,126286.97
1583,327549.1
1584,225118.2
1585,141983.92
1586,83081.914
1587,104153.92
1588,144534.19
1589,99446.28
1590,130635.8
1591,101822.055
1592,122690.664
1593,121245.89
1594,123940.18
1595,104047.5
1596,228021.55
1597,187078.06
1598,217698.81
1599,184892.19
1600,173062.16
1601,71970.08
1602,112747.27
1603,91895.266
1604,266363.88
1605,244097.73
1606,153889.45
1607,186944.31
1608,214072.05
1609,192192.75
1610,155585.89
